LONGITUDE,LATITUDE,DATE,SERVICEORDERSTATUS,STREETADDRESS,ZIPCODE,WARD
-77.04439135,38.92460274,March 2020,Closed,2721 ADAMS MILL ROAD NW,20009,1
-77.07430129,38.93708532,March 2020,Open,3800 - 3814 BLOCK OF PORTER STREET NW,20016,3
-77.02314991,38.95166296,March 2020,Closed,5024 7TH PLACE NW,20011,4
-77.00463573,38.882758,March 2020,Closed,138 DUDDINGTON PLACE SE,20003,6
-77.03279779,38.96338734,March 2020,Closed,1371 PEABODY STREET NW,20011,4
-76.97831996,38.88702164,March 2020,Closed,1816 BAY STREET SE,20003,6
-77.01461061,38.94344978,March 2020,Closed,211 VARNUM STREET NW,20011,4
-77.00407941,38.91716968,March 2020,Closed,168 U STREET NE,20002,5
-77.03195559,38.91447,March 2020,Open,1800 - 1823 BLOCK OF 14TH STREET NW,20009,NULL
-76.99315757,38.92727698,March 2020,Closed,915 HAMLIN STREET NE,20017,5
-76.98436208,38.8669282,March 2020,Closed,1408 MINNESOTA AVENUE SE,20020,8
-77.02732096,38.91165265,March 2020,Closed,1616 11TH STREET NW,20001,2
-76.97521517,38.89999524,March 2020,Closed,1931 H STREET NE,20002,5
-77.02679648,38.92890471,March 2020,Closed,1011 IRVING STREET NW,20010,1
-76.99513997,38.9584681,March 2020,Closed,5812 8TH STREET NE,20011,4
-77.04190848,38.90813732,March 2020,Closed,1312 18TH STREET NW,20036,2
-76.96842409,38.87483535,March 2020,Closed,2712 MINNESOTA AVENUE SE,20019,7
-77.02577995,38.91574116,March 2020,Closed,1901 VERMONT AVENUE NW,20001,1
-77.04322671,38.92306897,March 2020,Closed,1814 ADAMS MILL ROAD NW,20009,1
-77.04688413,38.92282181,March 2020,Closed,1971 BILTMORE STREET NW,20009,1
-76.99976587,38.96104862,March 2020,Closed,539 OGLETHORPE STREET NE,20011,4
-77.01474241,38.94991005,March 2020,Open,214 EMERSON STREET NW,20011,4
-77.01916364,38.91027428,March 2020,Closed,1516 5TH STREET NW,20001,6
-77.06350009,38.91028202,March 2020,Open,3142 Q STREET NW,20007,2
-77.04266034,38.91760833,March 2020,Open,1828 CALIFORNIA STREET NW,20009,1
-77.04125863,38.92478982,March 2020,Open,1732 LANIER PLACE NW,20009,1
-77.04351888,38.92299689,March 2020,Closed,1814 CALVERT STREET NW,20009,1
-77.02243416,38.90724545,March 2020,Open,700 - 799 BLOCK OF N STREET NW,20001,NULL
-77.02871053,38.93675796,March 2020,Closed,1044 QUEBEC PLACE NW,20010,4
-77.04440863,38.9247684,March 2020,Closed,2727 ADAMS MILL ROAD NW,20009,1
-77.02336738,38.91577815,March 2020,Closed,809 T STREET NW,20001,1
-77.03831848,38.93185199,March 2020,Closed,3221 MOUNT PLEASANT STREET NW,20010,1
-77.029425,38.92793937,March 2020,Closed,3007 13TH STREET NW,20009,1
-77.03043257,38.91541151,March 2020,Closed,1314 T STREET NW,20009,1
-76.9997338,38.96072234,March 2020,Closed,524 RIGGS ROAD NE,20011,4
-77.00119637,38.88618649,March 2020,Closed,320 C STREET SE,20003,6
-77.0718459,38.91878646,March 2020,Closed,2202 HALL PLACE NW,20007,3
-76.98343268,38.88071561,March 2020,Closed,706 15TH STREET SE,20003,6
-77.06314853,38.93852267,March 2020,Closed,3104 RODMAN STREET NW,20008,3
-77.07545408,38.96417815,March 2020,Closed,5532 CONNECTICUT AVENUE NW,20015,3
-77.01831301,38.95805915,March 2020,Closed,403 MISSOURI AVENUE NW,20011,4
-76.95480654,38.89477145,March 2020,Closed,36TH STREET NE AND DIX STREET NE,20019,7
-76.95517652,38.89576317,March 2020,Closed,3451 BENNING ROAD NE,20019,7
-77.01906551,38.94904526,March 2020,Closed,450 DELAFIELD PLACE NW,20011,4
-77.07386876,38.936308,March 2020,Closed,3401 38TH STREET NW,20016,3
-77.03520588,38.93515064,March 2020,Open,3536 CENTER STREET NW,20010,1
-77.00407941,38.91716968,March 2020,Closed,168 U STREET NE,20002,5
